src_ip,dst_ip,src_port,dst_port,protocol,bidirectional_packets,bidirectional_first_seen_ms,ground_truth,predicted,gt_bin,pred_bin
10.3.1.214,10.3.2.38,34414,80,6,19,1787884417221,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34426,80,6,19,1787884417221,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34430,80,6,19,1787884417221,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34432,80,6,19,1787884417221,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34436,80,6,19,1787884417221,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34444,80,6,19,1787884417221,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34450,80,6,19,1787884417221,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34460,80,6,19,1787884417222,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34474,80,6,19,1787884417222,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34484,80,6,19,1787884417222,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34492,80,6,19,1787884417222,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34500,80,6,19,1787884417222,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34514,80,6,19,1787884417223,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34516,80,6,19,1787884417223,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34522,80,6,19,1787884417223,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34526,80,6,19,1787884417223,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34538,80,6,19,1787884417223,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34542,80,6,19,1787884417223,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34550,80,6,19,1787884417224,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34562,80,6,19,1787884417224,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34578,80,6,19,1787884417224,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34592,80,6,19,1787884417224,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34598,80,6,19,1787884417224,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34612,80,6,19,1787884417224,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34616,80,6,19,1787884417225,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34630,80,6,19,1787884417225,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34638,80,6,19,1787884417225,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34644,80,6,19,1787884417225,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34656,80,6,19,1787884417225,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34660,80,6,19,1787884417225,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34670,80,6,19,1787884417225,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34684,80,6,19,1787884417226,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34698,80,6,19,1787884417226,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34706,80,6,19,1787884417226,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34714,80,6,19,1787884417226,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34728,80,6,19,1787884417226,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34744,80,6,19,1787884417227,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34760,80,6,19,1787884417227,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34770,80,6,19,1787884417227,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34778,80,6,19,1787884417227,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34790,80,6,19,1787884417227,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34806,80,6,19,1787884417227,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34812,80,6,19,1787884417227,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34828,80,6,19,1787884417228,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34838,80,6,19,1787884417228,SSH-Bruteforce,DoS attacks-Slowloris,1,1
